original_id,final_id,decision,execution_status_before,semantic_status_before,decision_reason,question_action,sql_action,validation_status_after,evidence_path
GT058,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT059,SIHRD5_Q011,keep,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed,evaluation/ground_truth/query_results_v2/SIHRD5_Q011.json
GT060,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT061,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT062,SIHRD5_Q019,rewrite,ok,grain_mismatch_patient_vs_internacao,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed,evaluation/ground_truth/query_results_v2/SIHRD5_Q019.json
GT063,SIHRD5_Q029,keep,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed,evaluation/ground_truth/query_results_v2/SIHRD5_Q029.json
GT064,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT065,,rewrite,ok,grain_mismatch_patient_vs_internacao;unsafe_instrucao_inner_join,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT066,SIHRD5_Q017,keep,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed,evaluation/ground_truth/query_results_v2/SIHRD5_Q017.json
GT067,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT068,,rewrite,error,schema_error: tabela inexistente atendimentos,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT069,,rewrite,error,schema_error: coluna CID antiga CD_DESCRICAO,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT070,,rewrite,error,grain_mismatch_patient_vs_internacao;schema_error: coluna CID antiga CD_DESCRICAO,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT071,,rewrite,ok,unsafe_raca_cor_inner_join,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT072,,rewrite,error,schema_error: colunas antigas de municipios,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT073,,drop,error,schema_error: colunas antigas de municipios;unsupported_domain_dependency,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,drop unsupported question or replace with available socioeconomico metric,remove unavailable metric dependency,dropped,
GT074,,drop,error,schema_error: colunas antigas de municipios;unsupported_domain_dependency,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,drop unsupported question or replace with available socioeconomico metric,remove unavailable metric dependency,dropped,
GT075,,rewrite,error,schema_error: colunas antigas de municipios,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT076,,rewrite,error,grain_mismatch_patient_vs_internacao;schema_error: colunas antigas de municipios,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT077,SIHRD5_Q029,rewrite,error,schema_error: colunas antigas de municipios,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed,evaluation/ground_truth/query_results_v2/SIHRD5_Q029.json
GT078,,rewrite,error,grain_mismatch_patient_vs_internacao;schema_error: coluna CID antiga CD_DESCRICAO,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT079,,rewrite,error,schema_error: tabela inexistente atendimentos,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT080,SIHRD5_Q018,rewrite,error,schema_error: colunas antigas de municipios,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed,evaluation/ground_truth/query_results_v2/SIHRD5_Q018.json
GT081,,rewrite,error,schema_error: tabela inexistente atendimentos,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT082,,rewrite,error,grain_mismatch_patient_vs_internacao;schema_error: coluna CID antiga CD_DESCRICAO,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT083,,rewrite,error,schema_error: colunas antigas de municipios;unsafe_instrucao_inner_join,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT084,,rewrite,error,schema_error: tabela inexistente atendimentos,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT085,SIHRD5_Q019,keep,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed,evaluation/ground_truth/query_results_v2/SIHRD5_Q019.json
GT086,,rewrite,error,schema_error: colunas antigas de municipios,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT087,SIHRD5_Q019,rewrite,error,schema_error: colunas antigas de municipios,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed,evaluation/ground_truth/query_results_v2/SIHRD5_Q019.json
GT088,,rewrite,error,ambiguous_uti_proxy_val_uti;schema_error: colunas antigas de municipios,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT089,,rewrite,ok,wrong_espec_code_obstetricia,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT090,,rewrite,error,schema_error: coluna CID antiga CD_DESCRICAO,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT091,,rewrite,ok,empty_topk_result,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT092,,rewrite,error,schema_error: coluna CID antiga CD_DESCRICAO,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT093,,rewrite,error,schema_error: colunas antigas de municipios,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT094,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT095,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT096,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT097,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT098,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT099,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT100,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT101,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT102,,rewrite,error,schema_error: outro erro SQL,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT103,,rewrite,error,schema_error: outro erro SQL,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT104,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT105,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT106,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT107,,rewrite,ok,wrong_espec_code_psiquiatria,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT108,,rewrite,ok,unsafe_raca_cor_inner_join,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT109,SIHRD5_Q032,rewrite,ok,grain_mismatch_patient_vs_internacao,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,rewrite wording to match documented grain/schema,rewrite SQL with current schema and join policy,passed,evaluation/ground_truth/query_results_v2/SIHRD5_Q032.json
GT110,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
GT111,,replace,ok,valid,Canonical ground truth is sourced from validated stage1_questions_v2.jsonl; original item audited before replacement.,preserve intent in canonical v2 dataset,validated in canonical v2 SQL,passed_canonical_replacement,evaluation/ground_truth/query_results_v2/
